Task,Name,EER
grabbing,P01,0.0509
grabbing,P02,0.0
grabbing,P03,0.086
grabbing,P04,0.0211
grabbing,P05,0.0
grabbing,P06,0.0035
grabbing,P07,0.0018
grabbing,P08,0.0035
grabbing,P09,0.0
grabbing,P10,0.0018
grabbing,P11,0.0333
grabbing,P12,0.0193
grabbing,P13,0.0298
grabbing,P14,0.0
grabbing,P15,0.0316
grabbing,P16,0.0
grabbing,P17,0.0035
grabbing,P18,0.0491
grabbing,P19,0.0333
grabbing,P20,0.0
pointing,P01,0.0474
pointing,P02,0.0807
pointing,P03,0.0281
pointing,P04,0.0333
pointing,P05,0.0
pointing,P06,0.0491
pointing,P07,0.0596
pointing,P08,0.0
pointing,P09,0.0211
pointing,P10,0.0
pointing,P11,0.714
pointing,P12,0.0053
pointing,P13,0.2596
pointing,P14,0.0246
pointing,P15,0.0474
pointing,P16,0.0228
pointing,P17,0.0193
pointing,P18,0.0
pointing,P19,0.1877
pointing,P20,0.0
typing,P01,0.0
typing,P02,0.1
typing,P03,0.0026
typing,P04,0.1026
typing,P05,0.0026
typing,P06,0.0158
typing,P07,0.0
typing,P08,0.0
typing,P09,0.0026
typing,P10,0.0
typing,P11,0.0105
typing,P12,0.0763
typing,P13,0.0026
typing,P14,0.0026
typing,P15,0.0421
typing,P16,0.0
typing,P17,0.0
typing,P18,0.0079
typing,P19,0.1
typing,P20,0.0816
