Task,Name,EER
grabbing,P04,0.0658
grabbing,P05,0.0
grabbing,P06,0.3921
grabbing,P10,0.0421
grabbing,P15,0.0561
grabbing,P01,0.2228
grabbing,P14,0.1184
grabbing,P08,0.0711
grabbing,P11,0.0395
grabbing,P16,0.0939
grabbing,P02,0.1649
grabbing,P09,0.0693
grabbing,P07,0.0009
grabbing,P12,0.1956
grabbing,P17,0.0702
grabbing,P03,0.0789
grabbing,P18,0.1456
grabbing,P13,0.157
grabbing,P19,0.0781
grabbing,P20,0.0
pointing,P04,0.0018
pointing,P05,0.0
pointing,P06,0.1386
pointing,P10,0.0132
pointing,P15,0.1702
pointing,P01,0.0939
pointing,P14,0.0368
pointing,P08,0.0491
pointing,P11,0.1982
pointing,P16,0.1149
pointing,P02,0.1851
pointing,P09,0.0851
pointing,P07,0.1965
pointing,P12,0.0096
pointing,P17,0.1684
pointing,P03,0.1184
pointing,P18,0.1053
pointing,P13,0.4123
pointing,P19,0.0588
pointing,P20,0.0
typing,P04,0.0434
typing,P05,0.0263
typing,P06,0.0224
typing,P10,0.0342
typing,P15,0.2184
typing,P01,0.0
typing,P14,0.0039
typing,P08,0.0013
typing,P11,0.1829
typing,P16,0.0605
typing,P02,0.1566
typing,P09,0.0842
typing,P07,0.0197
typing,P12,0.0474
typing,P17,0.0092
typing,P03,0.1066
typing,P18,0.1039
typing,P13,0.1987
typing,P19,0.0461
typing,P20,0.0
