Task,Name,EER
grabbing,P04,0.1974
grabbing,P05,0.0
grabbing,P06,0.6228
grabbing,P10,0.1833
grabbing,P15,0.1509
grabbing,P01,0.3421
grabbing,P14,0.2667
grabbing,P08,0.1044
grabbing,P11,0.0158
grabbing,P16,0.3447
grabbing,P02,0.0982
grabbing,P09,0.1184
grabbing,P07,0.0158
grabbing,P12,0.3184
grabbing,P17,0.4096
grabbing,P03,0.1877
grabbing,P18,0.1263
grabbing,P13,0.2035
grabbing,P19,0.1746
grabbing,P20,0.0
pointing,P04,0.0561
pointing,P05,0.0
pointing,P06,0.1763
pointing,P10,0.0
pointing,P15,0.1158
pointing,P01,0.0947
pointing,P14,0.0904
pointing,P08,0.2158
pointing,P11,0.2693
pointing,P16,0.0947
pointing,P02,0.1246
pointing,P09,0.2623
pointing,P07,0.1895
pointing,P12,0.0596
pointing,P17,0.3377
pointing,P03,0.0737
pointing,P18,0.2289
pointing,P13,0.3737
pointing,P19,0.0509
pointing,P20,0.0
typing,P04,0.0289
typing,P05,0.1684
typing,P06,0.0776
typing,P10,0.0
typing,P15,0.3395
typing,P01,0.0013
typing,P14,0.0039
typing,P08,0.0039
typing,P11,0.3079
typing,P16,0.0947
typing,P02,0.2329
typing,P09,0.2263
typing,P07,0.0605
typing,P12,0.1553
typing,P17,0.0842
typing,P03,0.0197
typing,P18,0.0684
typing,P13,0.2553
typing,P19,0.0355
typing,P20,0.0
