Task,Name,EER
grabbing,P04,0.0228
grabbing,P05,0.0
grabbing,P06,0.4509
grabbing,P10,0.0149
grabbing,P15,0.0368
grabbing,P01,0.1412
grabbing,P14,0.0386
grabbing,P08,0.0851
grabbing,P11,0.0351
grabbing,P16,0.0298
grabbing,P02,0.1798
grabbing,P09,0.0
grabbing,P07,0.0272
grabbing,P12,0.0982
grabbing,P17,0.1386
grabbing,P03,0.0526
grabbing,P18,0.2035
grabbing,P13,0.2342
grabbing,P19,0.0386
grabbing,P20,0.0
pointing,P04,0.0105
pointing,P05,0.0
pointing,P06,0.1596
pointing,P10,0.0
pointing,P15,0.0737
pointing,P01,0.0491
pointing,P14,0.0404
pointing,P08,0.0746
pointing,P11,0.3746
pointing,P16,0.1333
pointing,P02,0.1167
pointing,P09,0.0053
pointing,P07,0.1588
pointing,P12,0.0096
pointing,P17,0.0816
pointing,P03,0.0947
pointing,P18,0.0035
pointing,P13,0.4482
pointing,P19,0.0965
pointing,P20,0.0219
typing,P04,0.0368
typing,P05,0.0053
typing,P06,0.0224
typing,P10,0.0421
typing,P15,0.0539
typing,P01,0.0
typing,P14,0.0
typing,P08,0.0355
typing,P11,0.0947
typing,P16,0.0513
typing,P02,0.0921
typing,P09,0.0066
typing,P07,0.0158
typing,P12,0.0763
typing,P17,0.0053
typing,P03,0.0947
typing,P18,0.0579
typing,P13,0.1421
typing,P19,0.0329
typing,P20,0.0039
